Color (R=0, G=0, B=0):
(247, 2)
(257, 3)
(317, 3)
(176, 8)
(289, 9)
(413, 12)
(173, 14)
(320, 14)
(265, 15)
(229, 16)
(309, 16)
(350, 16)
(180, 19)
(482, 21)
(280, 23)
(386, 23)
(317, 25)
(336, 25)
(175, 26)
(287, 27)
(41, 28)
(146, 34)
(406, 34)
(170, 37)
(306, 37)
(247, 39)
(166, 42)
(136, 43)
(261, 43)
(183, 44)
(331, 44)
(156, 45)
(254, 45)
(446, 45)
(480, 45)
(366, 47)
(173, 48)
(301, 51)
(40, 52)
(348, 53)
(422, 53)
(398, 54)
(292, 55)
(152, 56)
(162, 56)
(323, 57)
(268, 59)
(137, 60)
(187, 60)
(243, 61)
(293, 66)
(219, 68)
(174, 69)
(167, 70)
(282, 72)
(356, 72)
(257, 73)
(189, 74)
(381, 75)
(165, 77)
(6, 79)
(207, 79)
(199, 80)
(485, 82)
(242, 86)
(376, 87)
(323, 90)
(272, 93)
(302, 93)
(338, 93)
(180, 95)
(447, 97)
(206, 98)
(254, 101)
(420, 101)
(5, 102)
(195, 102)
(217, 102)
(162, 105)
(490, 107)
(176, 111)
(228, 111)
(354, 112)
(282, 114)
(5, 116)
(209, 118)
(294, 119)
(413, 119)
(247, 122)
(224, 123)
(393, 132)
(168, 133)
(339, 133)
(191, 134)
(4, 137)
(236, 138)
(456, 138)
(481, 141)
(223, 142)
(348, 142)
(253, 143)
(277, 143)
(310, 146)
(110, 147)
(247, 149)
(129, 150)
(446, 150)
(182, 151)
(230, 151)
(358, 152)
(276, 154)
(409, 154)
(156, 156)
(481, 156)
(106, 157)
(137, 158)
(208, 159)
(245, 159)
(336, 159)
(263, 164)
(161, 166)
(290, 167)
(353, 167)
(498, 168)
(186, 169)
(227, 172)
(369, 172)
(136, 174)
(407, 174)
(255, 175)
(96, 178)
(374, 178)
(114, 179)
(452, 179)
(303, 181)
(11, 183)
(288, 184)
(328, 184)
(424, 184)
(160, 187)
(353, 189)
(182, 190)
(271, 190)
(123, 193)
(458, 193)
(486, 195)
(307, 198)
(113, 199)
(401, 200)
(425, 200)
(229, 201)
(134, 205)
(434, 205)
(361, 206)
(444, 206)
(332, 209)
(338, 210)
(503, 210)
(260, 211)
(392, 211)
(437, 216)
(188, 219)
(369, 220)
(419, 220)
(448, 221)
(151, 223)
(235, 223)
(434, 225)
(117, 226)
(272, 226)
(412, 227)
(265, 233)
(349, 234)
(434, 234)
(95, 240)
(198, 241)
(440, 245)
(235, 246)
(451, 252)
(482, 252)
(432, 256)
(134, 260)
(415, 261)
(261, 264)
(319, 264)
(398, 267)
(424, 275)
(406, 278)
(445, 279)
(469, 296)
(54, 300)
(418, 311)
(118, 315)
(470, 326)
(394, 332)
